First Round,Second Round,Sweet 16,Elite 8,Final 4,Final,Wins Tournament
KXMARMAD-25F4G4-SDSU,KXMARMAD-25R64G32-WOF,KXMARMAD-25R32G16-UCLA,KXMARMAD-25R16G8-XAV,KXMARMAD-25R8G4-UGA,KXMARMAD-25R4G2-UGA,KXMARMAD-25-MD
KXMARMAD-25F4G4-UNC,KXMARMAD-25R64G32-TENN,KXMARMAD-25R32G16-TENN,KXMARMAD-25R16G8-WOF,KXMARMAD-25R8G4-UCLA,KXMARMAD-25R4G2-XAV,KXMARMAD-25-CLEM
KXMARMAD-25F4G3-MSM,KXMARMAD-25R64G31-USU,KXMARMAD-25R32G16-WOF,KXMARMAD-25R16G8-USU,KXMARMAD-25R8G4-TROY,KXMARMAD-25R4G2-WOF,KXMARMAD-25-TT
KXMARMAD-25F4G3-AMER,KXMARMAD-25R64G31-UCLA,KXMARMAD-25R32G16-USU,KXMARMAD-25R16G8-UK,KXMARMAD-25R8G4-GONZ,KXMARMAD-25R4G2-VAN,KXMARMAD-25-GU
KXMARMAD-25F4G2-TEX,KXMARMAD-25R64G30-UK,KXMARMAD-25R32G15-XAV,KXMARMAD-25R16G8-UCLA,KXMARMAD-25R8G4-XAV,KXMARMAD-25R4G2-UK,KXMARMAD-25-WV
KXMARMAD-25F4G2-XAV,KXMARMAD-25R64G30-TROY,KXMARMAD-25R32G15-UK,KXMARMAD-25R16G8-TROY,KXMARMAD-25R8G4-WOF,KXMARMAD-25R4G2-UCLA,KXMARMAD-25-MEM
KXMARMAD-25F4G1-SFPA,KXMARMAD-25R64G29-XAV,KXMARMAD-25R32G15-TROY,KXMARMAD-25R16G8-TEX,KXMARMAD-25R8G4-USU,KXMARMAD-25R4G2-TEX,KXMARMAD-25-LV
KXMARMAD-25F4G1-ALST,KXMARMAD-25R64G29-TEX,KXMARMAD-25R32G15-TEX,KXMARMAD-25R16G8-ILL,KXMARMAD-25R8G4-UK,KXMARMAD-25R4G2-TENN,KXMARMAD-25-WI
,KXMARMAD-25R64G29-ILL,KXMARMAD-25R32G15-ILL,KXMARMAD-25R16G8-TENN,KXMARMAD-25R8G4-TEX,KXMARMAD-25R4G2-SMC,KXMARMAD-25-UC
,KXMARMAD-25R64G28-PUR,KXMARMAD-25R32G14-PUR,KXMARMAD-25R16G7-UGA,KXMARMAD-25R8G4-SIUE,KXMARMAD-25R4G2-SIUE,KXMARMAD-25-TAM
,KXMARMAD-25R64G28-HP,KXMARMAD-25R32G14-MCNS,KXMARMAD-25R16G7-SIUE,KXMARMAD-25R8G4-PUR,KXMARMAD-25R4G2-MSST,KXMARMAD-25-STJ
